Pokemon,Game Title, Description
フシギダネ,ブラック・ホワイト, うまれてから しばらくの あいだは せなかの タネから えいようを もらって おおきく そだつ。
フシギダネ,ブラック・ホワイト(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養をもらって 大きく 育つ。
フシギダネ,ブラック・ホワイト(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
フシギダネ,ブラック2・ホワイト2, うまれてから しばらくの あいだは せなかの タネから えいようを もらって おおきく そだつ。
フシギダネ,ブラック2・ホワイト2(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養をもらって 大きく 育つ。
フシギダネ,ブラック2・ホワイト2(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
フシギダネ,Y, うまれてから しばらくの あいだは せなかの タネから えいようを もらって おおきく そだつ。
フシギダネ,Y(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養をもらって 大きく 育つ。
フシギダネ,Y(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
フシギダネ,ブリリアントダイヤモンド・シャイニングパール, うまれてから しばらくの あいだは せなかの タネから えいようを もらって おおきく そだつ。
フシギダネ,ブリリアントダイヤモンド・シャイニングパール(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養をもらって 大きく 育つ。
フシギダネ,ブリリアントダイヤモンド・シャイニングパール(漢字), 生まれてから しばらくの あいだは 背中の タネから 栄養を もらって 大きく 育つ。
フシギダネ,New ポケモンスナップ, うまれてから しばらくは たいようこうと せなかのたねにつまった えいようでそだつんだ。 おおきくなるまでは ほかのポケモンに ささえられながら いきるんだよ。
フシギダネ,New ポケモンスナップ(漢字), 生まれてから しばらくは 太陽光と 背中の種に詰まった 栄養で育つんだ。 大きくなるまでは ほかのポケモンに 支えられながら 生きるんだよ。
フシギダネ,Pokémon Sleep, 日なたで 昼寝しているのか じっと 太陽の光を 浴びている。 寝ている間にも 背中のタネから 栄養をもらって 大きく育とうと しているのかもしれないね。
フシギソウ,赤・緑, つぼみが せなかに ついていて ようぶんを きゅうしゅうしていくと おおきな はなが さくという。
フシギソウ,赤・緑(漢字), つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。
フシギソウ,ファイアレッド, つぼみが せなかに ついていて ようぶんを きゅうしゅうしていくと おおきな はなが さくという。
フシギソウ,ファイアレッド(漢字), つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。
フシギソウ,X, つぼみが せなかに ついていて ようぶんを きゅうしゅうしていくと おおきな はなが さくという。
フシギソウ,X(漢字), つぼみが 背中に ついていて 養分を 吸収していくと 大きな 花が 咲くという。
フシギソウ,青, せなかの つぼみが おおきく そだってくると 2ほんあしで たつことが できなくなるらしい。
フシギソウ,青(漢字), 背中の つぼみが 大きく 育ってくると 2本脚で 立つことが できなくなるらしい。
フシギソウ,リーフグリーン, せなかの つぼみが おおきく そだってくると 2ほんあしで たつことが できなくなるらしい。
フシギソウ,リーフグリーン(漢字), 背中の つぼみが 大きく 育ってくると 2本脚で 立つことが できなくなるらしい。
フシギソウ,ソード, せなかの つぼみが おおきく そだってくると 2ほんあしで たつことが できなくなるらしい。
フシギソウ,ソード(漢字), 背中の つぼみが 大きく 育ってくると 2本脚で 立つことが できなくなるらしい。
フシギソウ,ポケモンスタジアム, せなかの つぼみは ようぶんを からだから もらっている らしい。 そだつと おおきなはなが さくという。
フシギソウ,ピカチュウ, ようぶんを とって おおきくなった つぼみから かおりが ただよいだすと もうすぐ ハナがひらく しょうこだ。
フシギソウ,ピカチュウ(漢字), 養分を 摂って 大きくなった つぼみから 香りが 漂いだすと もうすぐ ハナが開く 証拠だ。
フシギソウ,ポケモンピンボール, ようぶんを とって おおきくなった つぼみから かおりが ただよいだすと もうすぐ ハナがひらく しょうこだ。
フシギソウ,ポケモンピンボール(漢字), 養分を 摂って 大きくなった つぼみから 香りが 漂いだすと もうすぐ ハナが開く 証拠だ。
フシギソウ,Let's Go! ピカチュウ・Let's Go! イーブイ, ようぶんを とって おおきくなった つぼみから かおりが ただよいだすと もうすぐ ハナがひらく しょうこだ。
フシギソウ,Let's Go! ピカチュウ・Let's Go! イーブイ(漢字), 養分を 摂って 大きくなった つぼみから 香りが 漂いだすと もうすぐ ハナが開く 証拠だ。
フシギソウ,ポケモンスタジアム2, せなかの つぼみは ようぶんを からだから もらっているらしい。 そだつと おおきなはなが さくという。
フシギソウ,[1], せなかの つぼみは ようぶんを からだから もらっているらしい。 そだつと おおきなはなが さくという。
フシギソウ,金, たいようの ひかりを あびるほど からだに ちからが わいて せなかの つぼみが そだっていく。
フシギソウ,金(漢字), 太陽の 光を 浴びるほど 体に 力が わいて 背中の つぼみが 育っていく。
フシギソウ,ハートゴールド, たいようの ひかりを あびるほど からだに ちからが わいて せなかの つぼみが そだっていく。
フシギソウ,ハートゴールド(漢字), 太陽の 光を 浴びるほど 体に 力が わいて 背中の つぼみが 育っていく。
フシギソウ,シールド, たいようの ひかりを あびるほど からだに ちからが わいて せなかの つぼみが そだっていく。
フシギソウ,シールド(漢字), 太陽の 光を 浴びるほど 体に 力が わいて 背中の つぼみが 育っていく。
フシギソウ,スカーレット, たいようの ひかりを あびるほど からだに ちからが わいて せなかの つぼみが そだっていく。
フシギソウ,スカーレット(漢字), 太陽の 光を 浴びるほど 体に 力が わいて 背中の つぼみが 育っていく。
フシギソウ,銀, せなかの つぼみから あまいかおりが ただよいはじめたのは もうすぐ おおきなハナが ひらく しょうこだ。
フシギソウ,ソウルシルバー, せなかの つぼみから あまいかおりが ただよいはじめたのは もうすぐ おおきなハナが ひらく しょうこだ。
フシギソウ,クリスタル, せなかの つぼみは ようぶんを きゅうしゅう して ふくらむ。はなのさくころ いいにおいが する。
フシギソウ,クリスタル(漢字), 背中の つぼみは 養分を 吸収して ふくらむ。 花の咲くころ いい匂いが する。
フシギソウ,バイオレット, せなかの つぼみは ようぶんを きゅうしゅう して ふくらむ。はなのさくころ いいにおいが する。
フシギソウ,バイオレット(漢字), 背中の つぼみは 養分を 吸収して ふくらむ。 花の咲くころ いい匂いが する。
フシギソウ,ルビー・サファイア, つぼみを ささえるため あしこしが つよくなる。ひなたで じっとする じかんが ながくなれば いよいよ たいりんの はなが さくころだ。
フシギソウ,ルビー・サファイア(漢字), つぼみを 支えるため 足腰が 強くなる。日なたで じっとする 時間が 長くなれば いよいよ 大輪の 花が 咲くころだ。
フシギソウ,エメラルド, つぼみを ささえるため あしこしが つよくなる。ひなたで じっとする じかんが ながくなれば いよいよ たいりんの はなが さくころだ。
フシギソウ,エメラルド(漢字), つぼみを 支えるため 足腰が 強くなる。日なたで じっとする 時間が 長くなれば いよいよ 大輪の 花が 咲くころだ。
フシギソウ,オメガルビー・アルファサファイア, つぼみを ささえるため あしこしが つよくなる。ひなたで じっとする じかんが ながくなれば いよいよ たいりんの はなが さくころだ。
フシギソウ,オメガルビー・アルファサファイア(漢字), つぼみを 支えるため 足腰が 強くなる。日なたで じっとする 時間が 長くなれば いよいよ 大輪の 花が 咲くころだ。
フシギソウ,ポケモンレンジャー, からだから くりだす じょうぶな ツルを クイに まきつけて むこうぎしに わたれるぞ
フシギソウ,ダイヤモンド・パール, せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。
フシギソウ,ダイヤモンド・パール(漢字), 背中の つぼみが 膨らみだすと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ダイヤモンド・パール(漢字), 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,プラチナ, せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。
フシギソウ,プラチナ(漢字), 背中の つぼみが 膨らみだすと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,プラチナ(漢字), 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ブラック・ホワイト, せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。
フシギソウ,ブラック・ホワイト(漢字), 背中の つぼみが 膨らみだすと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ブラック・ホワイト(漢字), 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ブラック2・ホワイト2, せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。
フシギソウ,ブラック2・ホワイト2(漢字), 背中の つぼみが 膨らみだすと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ブラック2・ホワイト2(漢字), 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,Y, せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。
フシギソウ,Y(漢字), 背中の つぼみが 膨らみだすと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,Y(漢字), 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ブリリアントダイヤモンド・シャイニングパール, せなかの つぼみが ふくらみだすと あまい においが ただよいはじめる。たいりんの はなが さく まえぶれ。
フシギソウ,ブリリアントダイヤモンド・シャイニングパール(漢字), 背中の つぼみが 膨らみだすと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,ブリリアントダイヤモンド・シャイニングパール(漢字), 背中の つぼみが ふくらみ出すと 甘い においが 漂いはじめる。大輪の 花が 咲く 前触れ。
フシギソウ,Pokémon Sleep, 日なたで じっと太陽の光を浴び 「こうごうせい」をする。 その姿が 起きているのか 寝ているのかは 研究者の間でも 意見が分かれているよ。
フシギバナ,赤・緑, はなから うっとりする かおりが ただよい たたかうものの きもちを なだめてしまう。
フシギバナ,赤・緑(漢字), 花から うっとりする 香りが ただよい 戦うものの 気持ちを なだめてしまう。
フシギバナ,ファイアレッド, はなから うっとりする かおりが ただよい たたかうものの きもちを なだめてしまう。
フシギバナ,ファイアレッド(漢字), 花から うっとりする 香りが ただよい 戦うものの 気持ちを なだめてしまう。
フシギバナ,シールド, はなから うっとりする かおりが ただよい たたかうものの きもちを なだめてしまう。
フシギバナ,シールド(漢字), 花から うっとりする 香りが ただよい 戦うものの 気持ちを なだめてしまう。
フシギバナ,青, たいようエネルギーを えいようにして おおきなハナが ひらく。ひなたに ひきよせられるように いどうする。
フシギバナ,青(漢字), 太陽エネルギーを 栄養にして 大きな花が 開く。 日なたに 引き寄せられるように 移動する。
フシギバナ,リーフグリーン, たいようエネルギーを えいようにして おおきなハナが ひらく。ひなたに ひきよせられるように いどうする。
フシギバナ,リーフグリーン(漢字), 太陽エネルギーを 栄養にして 大きな花が 開く。 日なたに 引き寄せられるように 移動する。
フシギバナ,ソード, たいようエネルギーを えいようにして おおきなハナが ひらく。ひなたに ひきよせられるように いどうする。
フシギバナ,ソード(漢字), 太陽エネルギーを 栄養にして 大きな花が 開く。 日なたに 引き寄せられるように 移動する。
フシギバナ,ポケモンスタジアム, たいようエネルギーを からだに ためこむときは ひなたで うごかずに じっと していることが おおいという。
フシギバナ,ポケモンスタジアム2, たいようエネルギーを からだに ためこむときは ひなたで うごかずに じっと していることが おおいという。
フシギバナ,ピカチュウ, せなかに はえた おおきな ハナは たいようの ひかりを きゅうしゅうし エネルギーに へんかん できる。
フシギバナ,ピカチュウ(漢字), 背中に 生えた 大きな ハナは 太陽の 光を 吸収し エネルギーに 変換 できる。
フシギバナ,ポケモンピンボール, せなかに はえた おおきな ハナは たいようの ひかりを きゅうしゅうし エネルギーに へんかん できる。
フシギバナ,ポケモンピンボール(漢字), 背中に 生えた 大きな ハナは 太陽の 光を 吸収し エネルギーに 変換 できる。
フシギバナ,Let's Go! ピカチュウ・Let's Go! イーブイ, せなかに はえた おおきな ハナは たいようの ひかりを きゅうしゅうし エネルギーに へんかん できる。
フシギバナ,Let's Go! ピカチュウ・Let's Go! イーブイ(漢字), 背中に 生えた 大きな ハナは 太陽の 光を 吸収し エネルギーに 変換 できる。
フシギバナ,金, おおきな はなびらを ひろげ たいようの ひかりを あびていると からだに げんきが みなぎっていく。
フシギバナ,金(漢字), 大きな 花びらを 広げ 太陽の 光を 浴びていると 体に 元気が みなぎっていく。
フシギバナ,ハートゴールド, おおきな はなびらを ひろげ たいようの ひかりを あびていると からだに げんきが みなぎっていく。
フシギバナ,ハートゴールド(漢字), 大きな 花びらを 広げ 太陽の 光を 浴びていると 体に 元気が みなぎっていく。
フシギバナ,X, おおきな はなびらを ひろげ たいようの ひかりを あびていると からだに げんきが みなぎっていく。
フシギバナ,X(漢字), 大きな 花びらを 広げ 太陽の 光を 浴びていると 体に 元気が みなぎっていく。
フシギバナ,バイオレット, おおきな はなびらを ひろげ たいようの ひかりを あびていると からだに げんきが みなぎっていく。
フシギバナ,バイオレット(漢字), 大きな 花びらを 広げ 太陽の 光を 浴びていると 体に 元気が みなぎっていく。
フシギバナ,銀, あびた たいようの ひかりを エネルギーに へんかんできるので なつの ほうが つよくなる。
フシギバナ,銀(漢字), 浴びた 太陽の 光を エネルギーに 変換できるので 夏の ほうが 強くなる。
フシギバナ,ソウルシルバー, あびた たいようの ひかりを エネルギーに へんかんできるので なつの ほうが つよくなる。
フシギバナ,ソウルシルバー(漢字), 浴びた 太陽の 光を エネルギーに 変換できるので 夏の ほうが 強くなる。
フシギバナ,スカーレット, あびた たいようの ひかりを エネルギーに へんかんできるので なつの ほうが つよくなる。
フシギバナ,スカーレット(漢字), 浴びた 太陽の 光を エネルギーに 変換できるので 夏の ほうが 強くなる。
フシギバナ,クリスタル, たいようの ひかりをあびて からだが あたたまってくると はなびら から ここちよくなる かおりが ただよう。
フシギバナ,ルビー・サファイア, じゅうぶんな えいようと たいようの ひかりが はなの いろを あざやかに すると いわれる。はなの かおりは ひとの こころを いやす。
フシギバナ,ルビー・サファイア(漢字), 十分な 栄養と 太陽の 光が 花の 色を 鮮やかに すると いわれる。花の 香りは 人の 心を 癒す。
フシギバナ,エメラルド, じゅうぶんな えいようと たいようの ひかりが はなの いろを あざやかに すると いわれる。はなの かおりは ひとの こころを いやす。
フシギバナ,エメラルド(漢字), 十分な 栄養と 太陽の 光が 花の 色を 鮮やかに すると いわれる。花の 香りは 人の 心を 癒す。
フシギバナ,オメガルビー・アルファサファイア, じゅうぶんな えいようと たいようの ひかりが はなの いろを あざやかに すると いわれる。はなの かおりは ひとの こころを いやす。
フシギバナ,オメガルビー・アルファサファイア(漢字), 十分な 栄養と 太陽の 光が 花の 色を 鮮やかに すると いわれる。花の 香りは 人の 心を 癒す。
フシギバナ,ポケモンレンジャー, おおきい タネを ふきだし そこから はえた きょだいな ツタで ぼうがいしてくる!
フシギバナ,ダイヤモンド・パール, あめの ふった よくじつは せなかの はなの かおりが つよまる。かおりに さそわれ ポケモンが あつまる。
フシギバナ,ダイヤモンド・パール(漢字), 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
フシギバナ,プラチナ, あめの ふった よくじつは せなかの はなの かおりが つよまる。かおりに さそわれ ポケモンが あつまる。
フシギバナ,プラチナ(漢字), 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
フシギバナ,ブラック・ホワイト, あめの ふった よくじつは せなかの はなの かおりが つよまる。かおりに さそわれ ポケモンが あつまる。
フシギバナ,ブラック・ホワイト(漢字), 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
フシギバナ,ブラック2・ホワイト2, あめの ふった よくじつは せなかの はなの かおりが つよまる。かおりに さそわれ ポケモンが あつまる。
フシギバナ,ブラック2・ホワイト2(漢字), 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
フシギバナ,Y, あめの ふった よくじつは せなかの はなの かおりが つよまる。かおりに さそわれ ポケモンが あつまる。
フシギバナ,Y(漢字), 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
フシギバナ,ブリリアントダイヤモンド・シャイニングパール, あめの ふった よくじつは せなかの はなの かおりが つよまる。かおりに さそわれ ポケモンが あつまる。
フシギバナ,ブリリアントダイヤモンド・シャイニングパール(漢字), 雨の 降った 翌日は 背中の 花の 香りが 強まる。香りに 誘われ ポケモンが 集まる。
フシギバナ,New ポケモンスナップ, せなかにある おおきなはなのかおりは ポケモンのこころを なごませるんだ。 みずべにいる ちいさなポケモンたちも あんしんして あそんでいたね。
フシギバナ,New ポケモンスナップ(漢字), 背中にある 大きな花の香りは ポケモンの心を 和ませるんだ。 水辺にいる 小さなポケモンたちも 安心して 遊んでいたね。
フシギバナ,Pokémon Sleep, 背中の花から 心地よい香りを ただよわせながら 眠っているよ。たまに見かける 長いツルを しまい忘れて 眠っている フシギバナは ひときわ リラックスしているのかも しれないね。
ヒトカゲ,赤・緑, うまれたときから しっぽに ほのおが ともっている。ほのおが きえたとき その いのちは おわって しまう。
ヒトカゲ,赤・緑(漢字), 生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。
ヒトカゲ,赤・緑(漢字), 生まれたときから しっぽに 炎が ともっている。 炎が 消えたとき その 命は 終わって しまう。
ヒトカゲ,ファイアレッド, うまれたときから しっぽに ほのおが ともっている。ほのおが きえたとき その いのちは おわって しまう。
ヒトカゲ,ファイアレッド(漢字), 生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。
ヒトカゲ,ファイアレッド(漢字), 生まれたときから しっぽに 炎が ともっている。 炎が 消えたとき その 命は 終わって しまう。
ヒトカゲ,Y, うまれたときから しっぽに ほのおが ともっている。ほのおが きえたとき その いのちは おわって しまう。
ヒトカゲ,Y(漢字), 生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。
ヒトカゲ,Y(漢字), 生まれたときから しっぽに 炎が ともっている。 炎が 消えたとき その 命は 終わって しまう。
ヒトカゲ,シールド, うまれたときから しっぽに ほのおが ともっている。ほのおが きえたとき その いのちは おわって しまう。
ヒトカゲ,シールド(漢字), 生まれたときから 尻尾に 炎が 点っている。炎が 消えたとき その 命は 終わってしまう。
ヒトカゲ,シールド(漢字), 生まれたときから しっぽに 炎が ともっている。 炎が 消えたとき その 命は 終わって しまう。
ヒトカゲ,青, あついものを このむ せいかく。 あめに ぬれると しっぽの さきから けむりが でるという。
ヒトカゲ,青(漢字), 熱いものを 好む 性格。 雨に濡れると しっぽの 先から 煙が 出るという。
ヒトカゲ,リーフグリーン, あついものを このむ せいかく。 あめに ぬれると しっぽの さきから けむりが でるという。
ヒトカゲ,リーフグリーン(漢字), 熱いものを 好む 性格。 雨に濡れると しっぽの 先から 煙が 出るという。
ヒトカゲ,ソード, あついものを このむ せいかく。 あめに ぬれると しっぽの さきから けむりが でるという。
ヒトカゲ,ソード(漢字), 熱いものを 好む 性格。 雨に濡れると しっぽの 先から 煙が 出るという。
ヒトカゲ,ポケモンスタジアム, うまれたばかりの ときは しっぽの ほのおに なれていないので やけどを することも あるらしい。
ヒトカゲ,ポケモンスタジアム2, うまれたばかりの ときは しっぽの ほのおに なれていないので やけどを することも あるらしい。
ヒトカゲ,ピカチュウ, しずかな ところに つれていくと シッポが もえてる ちいさな おとが きこえてくるよ。
ヒトカゲ,ピカチュウ(漢字), 静かな ところに 連れていくと シッポが 燃えてる 小さな 音が 聞こえてくるよ。
ヒトカゲ,ポケモンピンボール, しずかな ところに つれていくと シッポが もえてる ちいさな おとが きこえてくるよ。
ヒトカゲ,ポケモンピンボール(漢字), 静かな ところに 連れていくと シッポが 燃えてる 小さな 音が 聞こえてくるよ。
ヒトカゲ,Let's Go! ピカチュウ・Let's Go! イーブイ, しずかな ところに つれていくと シッポが もえてる ちいさな おとが きこえてくるよ。
ヒトカゲ,Let's Go! ピカチュウ・Let's Go! イーブイ(漢字), 静かな ところに 連れていくと シッポが 燃えてる 小さな 音が 聞こえてくるよ。
ヒトカゲ,金, シッポで もえる ほのおは せいめいりょくの あらわれ。 げんきがないと ほのおは よわまる。
ヒトカゲ,金(漢字), 尻尾で 燃える 炎は 生命力の 表れ。 元気がないと 炎は 弱まる。
ヒトカゲ,ハートゴールド, シッポで もえる ほのおは せいめいりょくの あらわれ。 げんきがないと ほのおは よわまる。
ヒトカゲ,ハートゴールド(漢字), 尻尾で 燃える 炎は 生命力の 表れ。 元気がないと 炎は 弱まる。
ヒトカゲ,スカーレット, シッポで もえる ほのおは せいめいりょくの あらわれ。 げんきがないと ほのおは よわまる。
ヒトカゲ,スカーレット(漢字), 尻尾で 燃える 炎は 生命力の 表れ。 元気がないと 炎は 弱まる。
ヒトカゲ,銀, しっぽの ほのおは ヒトカゲの せいめいりょくの あかし。 げんきだと さかんに もえさかる。
ヒトカゲ,銀(漢字), 尻尾の 炎は ヒトカゲの 生命力の 証。 元気だと さかんに 燃えさかる。
ヒトカゲ,ソウルシルバー, しっぽの ほのおは ヒトカゲの せいめいりょくの あかし。 げんきだと さかんに もえさかる。
ヒトカゲ,ソウルシルバー(漢字), 尻尾の 炎は ヒトカゲの 生命力の 証。 元気だと さかんに 燃えさかる。
ヒトカゲ,X, しっぽの ほのおは ヒトカゲの せいめいりょくの あかし。 げんきだと さかんに もえさかる。
ヒトカゲ,X(漢字), 尻尾の 炎は ヒトカゲの 生命力の 証。 元気だと さかんに 燃えさかる。
